Restaurant Name , Cuisine , Price , Location,Exact Location,Driving Distance,Recommended,Availability,Tags Availability,Reservation,Menu,Website,Phone,Google Maps Link
Rifugio Col Alt , Classic Cuisine , €€ ," Corvara in Badia, Italy","Stazione monte, Str. Col Alt, 39033 Corvara in Badia BZ, Italy",45 mins,FALSE," 
  - Thu: 9 AM–5 PM [All Day]
  - Fri: 9 AM–5 PM [All Day]
  - Sat: 9 AM–5 PM [All Day]
  - Sun: 9 AM–5 PM [All Day]
"," 
[ Thu, Fri, Sat, Sun ]

",,,http://www.rifugiocolalt.it/,390471836324,"https://www.google.com/maps/place/In+Viaggio+-+Claudio+Melis+Restaurant/@46.5002128,11.3551177,17z/data=!3m2!4b1!5s0x47829e7a7fd82881:0x4c59835c21ceade!4m6!3m5!1s0x47829e7bd9986167:0x296b534f275b1350!8m2!3d46.5002091!4d11.3576926!16s%2Fg%2F11gd1vyc3r?entry=ttu"
Maso Runch-Hof , Regional Cuisine , €€ ," Pedraces, Italy","Località Runch, 18, 39036 Badia BZ, Italy",54 mins,FALSE," 
  - Thu: 7–11 PM [Dinner]
  - Fri: 7–11 PM [Dinner]
  - Sat: 7–11 PM [Dinner]
  - Sun: Closed
"," 
[ Thu, Fri, Sat ]

",,,http://www.masorunch.it/,390471839796,"https://www.google.com/maps/place/In+Viaggio+-+Claudio+Melis+Restaurant/@46.5002128,11.3551177,17z/data=!3m2!4b1!5s0x47829e7a7fd82881:0x4c59835c21ceade!4m6!3m5!1s0x47829e7bd9986167:0x296b534f275b1350!8m2!3d46.5002091!4d11.3576926!16s%2Fg%2F11gd1vyc3r?entry=ttu"
Stube Ladina , Alpine , €€ ," Arabba, Italy","Via Precumon-Arabba, 24/b, 32020 Livinallongo del Col di Lana BL, Italy",59 mins,TRUE," 
  - Thu: 12–2 PM, 7–9 PM [Lunch, Dinner]
  - Fri: 12–2 PM, 7–9 PM [Lunch, Dinner]
  - Sat: 12–2 PM, 7–9 PM [Lunch, Dinner]
  - Sun: 12–2 PM, 7–9 PM [Lunch, Dinner]
"," 
[ Thu, Fri, Sat ]

",,,http://www.stubeladina.it/,390436750076,"https://www.google.com/maps/place/In+Viaggio+-+Claudio+Melis+Restaurant/@46.5002128,11.3551177,17z/data=!3m2!4b1!5s0x47829e7a7fd82881:0x4c59835c21ceade!4m6!3m5!1s0x47829e7bd9986167:0x296b534f275b1350!8m2!3d46.5002091!4d11.3576926!16s%2Fg%2F11gd1vyc3r?entry=ttu"
Johannesstube , Alpine , €€€€ ," Nova Levante, Italy","Via S. Valentino, 3, 39056 Nova Levante BZ, Italy",54 mins,FALSE," 
  - Thu: 6:30–11 PM [Dinner]
  - Fri: 6:30–11 PM [Dinner]
  - Sat: 6:30–11 PM [Dinner]
  - Sun: Closed
"," 
[ Thu, Fri, Sat ]

",https://www.opentable.it/r/johannesstube-welschnofen?ref=18257,https://www.johannesstube.com/de/menu,https://www.johannesstube.com/,390471613131,"https://www.google.com/maps/place/In+Viaggio+-+Claudio+Melis+Restaurant/@46.5002128,11.3551177,17z/data=!3m2!4b1!5s0x47829e7a7fd82881:0x4c59835c21ceade!4m6!3m5!1s0x47829e7bd9986167:0x296b534f275b1350!8m2!3d46.5002091!4d11.3576926!16s%2Fg%2F11gd1vyc3r?entry=ttu"
1908, Creative , €€€€ ," Soprabolzano, Italy","Via Paese, 18, 39054 Soprabolzano BZ, Italy",49 mins,FALSE," 
  - Thu: 7–11 PM [Dinner]
  - Fri: 7–11 PM [Dinner]
  - Sat: 7–11 PM [Dinner]
  - Sun: Closed
"," 
[ None ]

",,,https://www.restaurant1908.com/?utm_source=GMB&utm_medium=Referral&utm_campaign=Website-Link,390471345232,"https://www.google.com/maps/place/In+Viaggio+-+Claudio+Melis+Restaurant/@46.5002128,11.3551177,17z/data=!3m2!4b1!5s0x47829e7a7fd82881:0x4c59835c21ceade!4m6!3m5!1s0x47829e7bd9986167:0x296b534f275b1350!8m2!3d46.5002091!4d11.3576926!16s%2Fg%2F11gd1vyc3r?entry=ttu"
Cocun Cellar Restaurant , Contemporary , €€€ ," San Cassiano, Italy","Strada Prè de Vì 31, 39036 San Cassiano BZ, Italy",55 mins,FALSE," 
  - Thu: None
  - Fri: None
  - Sat: None
  - Sun: None
"," 
[ Thu, Fri, Sat, Sun ]

",,,https://www.ciasasalares.it/it/ristoranti/cocun-cellar-restaurant,390471849445,"https://www.google.com/maps/place/In+Viaggio+-+Claudio+Melis+Restaurant/@46.5002128,11.3551177,17z/data=!3m2!4b1!5s0x47829e7a7fd82881:0x4c59835c21ceade!4m6!3m5!1s0x47829e7bd9986167:0x296b534f275b1350!8m2!3d46.5002091!4d11.3576926!16s%2Fg%2F11gd1vyc3r?entry=ttu"
Malga Panna , Regional Cuisine , €€€ ," Moena, Italy","Str. de Sort, 64, 38035 Moena TN, Italy",1 hour 12 mins,FALSE," 
  - Thu: 12:30–2 PM, 7:30–10 PM [Lunch, Dinner]
  - Fri: 12:30–2 PM, 7:30–10 PM [Lunch, Dinner]
  - Sat: 12:30–2 PM, 7:30–10 PM [Lunch, Dinner]
  - Sun: 12:30–2 PM, 7:30–10 PM [Lunch, Dinner]
"," 
[ Thu, Fri, Sat, Sun ]

",https://www.malgapanna.it/prenota/,https://www.malgapanna.it/menu-la-carte/,https://www.malgapanna.it/,390462573489,"https://www.google.com/maps/place/In+Viaggio+-+Claudio+Melis+Restaurant/@46.5002128,11.3551177,17z/data=!3m2!4b1!5s0x47829e7a7fd82881:0x4c59835c21ceade!4m6!3m5!1s0x47829e7bd9986167:0x296b534f275b1350!8m2!3d46.5002091!4d11.3576926!16s%2Fg%2F11gd1vyc3r?entry=ttu"
Braunwirt , Modern Cuisine , €€ ," Sarentino, Italy","Piazza della Chiesa, 3, 39058 Sarentino BZ, Italy",1 hour 2 mins,FALSE," 
  - Thu: 8:30 AM–2:30 PM, 6–10 PM [Lunch, Dinner]
  - Fri: 8:30 AM–2:30 PM, 6–10 PM [Lunch, Dinner]
  - Sat: 8:30 AM–2:30 PM, 6–10 PM [Lunch, Dinner]
  - Sun: 8:30 AM–5 PM [All Day]
"," 
[ Thu, Fri, Sat ]

",https://www.thefork.it/ristorante/braunwirt-r645895?cc=18174-54f,,http://www.braunwirt.it/,390471620165,"https://www.google.com/maps/place/In+Viaggio+-+Claudio+Melis+Restaurant/@46.5002128,11.3551177,17z/data=!3m2!4b1!5s0x47829e7a7fd82881:0x4c59835c21ceade!4m6!3m5!1s0x47829e7bd9986167:0x296b534f275b1350!8m2!3d46.5002091!4d11.3576926!16s%2Fg%2F11gd1vyc3r?entry=ttu"
In Viaggio - Claudio Melis , Creative , €€€€ ," Bolzano, Italy","Via Piave, 15, 39100 Bolzano BZ, Italy",43 mins,FALSE," 
  - Thu: 7–8 PM [Dinner]
  - Fri: 7–8 PM [Dinner]
  - Sat: 7–8 PM [Dinner]
  - Sun: Closed
"," 
[ Thu, Fri, Sat, Sun ]

",,,https://www.hotellaurinsalo.it/,39036522022,"https://www.google.com/maps/place/In+Viaggio+-+Claudio+Melis+Restaurant/@46.5002128,11.3551177,17z/data=!3m2!4b1!5s0x47829e7a7fd82881:0x4c59835c21ceade!4m6!3m5!1s0x47829e7bd9986167:0x296b534f275b1350!8m2!3d46.5002091!4d11.3576926!16s%2Fg%2F11gd1vyc3r?entry=ttu"
Laurin , Modern Cuisine , €€€ ," Bolzano, Italy","Viale Angelo Landi, 9, 25087 Salò BS, Italy",43 mins,FALSE," 
  - Thu: 12–2:30 PM, 7–10 PM [Lunch, Dinner]
  - Fri: 12–2:30 PM, 7–10 PM [Lunch, Dinner]
  - Sat: 12–2:30 PM, 7–10 PM [Lunch, Dinner]
  - Sun: 7–10 PM [Dinner]
"," 
[ None ]

",,,,,"https://www.google.com/maps/place/In+Viaggio+-+Claudio+Melis+Restaurant/@46.5002128,11.3551177,17z/data=!3m2!4b1!5s0x47829e7a7fd82881:0x4c59835c21ceade!4m6!3m5!1s0x47829e7bd9986167:0x296b534f275b1350!8m2!3d46.5002091!4d11.3576926!16s%2Fg%2F11gd1vyc3r?entry=ttu"
Zur Kaiserkron , Mediterranean Cuisine, €€€ ," Bolzano, Italy","Piazza della Mostra, 1, 39100 Bolzano BZ, Italy",43 mins,FALSE," 
  - Thu: None
  - Fri: None
  - Sat: None
  - Sun: None
"," 
[ Thu, Fri, Sat ]

",https://prenotazioni-palato.com/zurkaiserkron,https://www.ristorantezurkaiserkron.it/menu/,http://www.voegele.it/?utm_source=GoogleMyBusiness&utm_medium=KlickWebsite&utm_campaign=GoogleMyBusiness,390471028000,"https://www.google.com/maps/place/In+Viaggio+-+Claudio+Melis+Restaurant/@46.5002128,11.3551177,17z/data=!3m2!4b1!5s0x47829e7a7fd82881:0x4c59835c21ceade!4m6!3m5!1s0x47829e7bd9986167:0x296b534f275b1350!8m2!3d46.5002091!4d11.3576926!16s%2Fg%2F11gd1vyc3r?entry=ttu"
Vögele , Regional Cuisine , €€ ," Bolzano, Italy","Via Goethe, 3, 39100 Bolzano BZ, Italy",43 mins,FALSE," 
  - Thu: 8 AM–12 AM [All Day]
  - Fri: 8 AM–12 AM [All Day]
  - Sat: 12–3:45 PM [Lunch]
  - Sun: Closed
"," 
[ Thu, Fri, Sat, Sun ]

",https://www.voegele.it/en/book-a-table/,https://www.voegele.it/de/speisekarte-und-menus/,http://www.voegele.it/?utm_source=GoogleMyBusiness&utm_medium=KlickWebsite&utm_campaign=GoogleMyBusiness,390471973938,"https://www.google.com/maps/place/In+Viaggio+-+Claudio+Melis+Restaurant/@46.5002128,11.3551177,17z/data=!3m2!4b1!5s0x47829e7a7fd82881:0x4c59835c21ceade!4m6!3m5!1s0x47829e7bd9986167:0x296b534f275b1350!8m2!3d46.5002091!4d11.3576926!16s%2Fg%2F11gd1vyc3r?entry=ttu"
Marechiaro , Seafood , €€€ ," Bolzano, Italy","Via Vicenza, 14, 39100 Bolzano BZ, Italy",43 mins,FALSE," 
  - Thu: 12–2:30 PM, 6 PM–1 AM [Lunch, Dinner]
  - Fri: 12–2:30 PM, 6 PM–1 AM [Lunch, Dinner]
  - Sat: 12–2:30 PM, 6 PM–1 AM [Lunch, Dinner]
  - Sun: 12–2:30 PM, 6 PM–1 AM [Lunch, Dinner]
"," 
[ Thu, Fri, Sat, Sun ]

",,,http://www.marechiarobolzano.it/,390471402319,"https://www.google.com/maps/place/In+Viaggio+-+Claudio+Melis+Restaurant/@46.5002128,11.3551177,17z/data=!3m2!4b1!5s0x47829e7a7fd82881:0x4c59835c21ceade!4m6!3m5!1s0x47829e7bd9986167:0x296b534f275b1350!8m2!3d46.5002091!4d11.3576926!16s%2Fg%2F11gd1vyc3r?entry=ttu"
Lerchner's In Runggen , South Tyrolean , €€ ," Saint Lorenzen, Italy","Runggen/Ronchi, 3A, 39030 San Lorenzo di Sebato BZ, Italy",1 hour 1 min,FALSE," 
  - Thu: 12–2 PM, 6:30–9 PM [Lunch, Dinner]
  - Fri: 12–2 PM, 6:30–9 PM [Lunch, Dinner]
  - Sat: 12–2 PM, 6:30–9 PM [Lunch, Dinner]
  - Sun: 12–2 PM, 6:30–9 PM [Lunch, Dinner]
"," 
[ Thu, Fri, Sat, Sun ]",,,http://lerchners.it/,390474404014,"https://www.google.com/maps/place/In+Viaggio+-+Claudio+Melis+Restaurant/@46.5002128,11.3551177,17z/data=!3m2!4b1!5s0x47829e7a7fd82881:0x4c59835c21ceade!4m6!3m5!1s0x47829e7bd9986167:0x296b534f275b1350!8m2!3d46.5002091!4d11.3576926!16s%2Fg%2F11gd1vyc3r?entry=ttu"
La Passion , Classic Cuisine , €€ ," Vintl, Italy",,47 mins,FALSE," 
  - Thu: 12–2 PM, 7–9 PM [Lunch, Dinner]
  - Fri: 12–2 PM, 7–9 PM [Lunch, Dinner]
  - Sat: 12–2 PM, 7–9 PM [Lunch, Dinner]
  - Sun: 12–2 PM, 7–9 PM [Lunch, Dinner]",,,https://www.lapassion.it/,http://www.lapassion.it/,390472868595,"https://www.google.com/maps/place/In+Viaggio+-+Claudio+Melis+Restaurant/@46.5002128,11.3551177,17z/data=!3m2!4b1!5s0x47829e7a7fd82881:0x4c59835c21ceade!4m6!3m5!1s0x47829e7bd9986167:0x296b534f275b1350!8m2!3d46.5002091!4d11.3576926!16s%2Fg%2F11gd1vyc3r?entry=ttu"
